                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.58423,                0.44519,                0.83039,                0.93096,                0.92124,                0.95471,                0.76931,                 0.6312,                0.46572,                0.85187,             0.00056795,             0.00056795,             0.00056795
                     77,                0.57972,                 0.4318,                0.82269,                0.91879,                0.92655,                0.94889,                0.76762,                0.64446,                0.48085,                0.84992,             0.00056663,             0.00056663,             0.00056663
                     78,                0.55657,                0.42468,                0.81782,                0.90202,                0.91693,                0.93572,                0.76841,                0.61217,                0.51046,                0.84517,             0.00056531,             0.00056531,             0.00056531
                     79,                0.55776,                 0.4188,                0.82418,                0.92716,                0.91512,                0.93984,                0.75812,                0.63951,                0.55238,                 0.8489,             0.00056399,             0.00056399,             0.00056399
                     80,                0.57631,                0.42854,                0.81338,                0.93285,                  0.897,                 0.9362,                0.76571,                0.63217,                0.52431,                0.84649,             0.00056267,             0.00056267,             0.00056267
                     81,                0.59738,                0.43364,                0.82548,                0.93466,                0.90617,                0.93408,                0.75636,                0.63358,                0.53236,                0.84344,             0.00056135,             0.00056135,             0.00056135
                     82,                0.54143,                0.41626,                0.80947,                0.91755,                 0.9125,                0.93901,                0.77333,                0.61899,                0.49229,                0.84538,             0.00056003,             0.00056003,             0.00056003
                     83,                0.55155,                0.41887,                0.81594,                0.90319,                0.91165,                0.94071,                0.77425,                 0.6015,                 0.4999,                0.84451,             0.00055871,             0.00055871,             0.00055871
                     84,                0.55413,                0.41586,                0.82265,                0.91467,                0.91876,                0.93809,                0.76446,                0.64155,                0.49472,                0.85086,             0.00055739,             0.00055739,             0.00055739
                     85,                0.57174,                0.43609,                0.81406,                0.92985,                 0.9011,                 0.9298,                0.75621,                0.62356,                0.49184,                0.85253,             0.00055606,             0.00055606,             0.00055606
                     86,                0.57874,                0.43316,                0.81441,                0.92407,                0.90737,                0.94615,                0.78003,                0.62705,                 0.4897,                0.85437,             0.00055474,             0.00055474,             0.00055474
                     87,                0.53506,                0.41548,                0.81102,                0.94345,                0.91552,                0.96077,                0.76572,                0.64848,                0.44853,                0.85256,             0.00055342,             0.00055342,             0.00055342
                     88,                0.55045,                0.40503,                0.81495,                0.94416,                0.92118,                 0.9605,                 0.7835,                0.63019,                 0.4582,                0.84949,              0.0005521,              0.0005521,              0.0005521
                     89,                0.59085,                0.42158,                 0.8243,                0.93675,                0.92015,                0.95744,                0.76805,                0.63432,                0.44324,                0.85159,             0.00055078,             0.00055078,             0.00055078
                     90,                0.54981,                0.40889,                0.81616,                0.93627,                0.93898,                0.95754,                0.78295,                0.61538,                0.44548,                0.84933,             0.00054946,             0.00054946,             0.00054946
                     91,                0.56422,                0.42565,                0.82934,                0.92179,                0.91681,                0.94645,                0.77066,                0.63271,                0.48189,                0.85432,             0.00054814,             0.00054814,             0.00054814
                     92,                0.54592,                0.41123,                0.80602,                0.94346,                0.92298,                0.94103,                0.76909,                0.61573,                0.48682,                0.84627,             0.00054682,             0.00054682,             0.00054682
                     93,                0.54277,                0.38813,                0.81696,                0.92351,                0.91828,                0.92904,                0.76244,                0.62048,                 0.5348,                0.84538,              0.0005455,              0.0005455,              0.0005455
                     94,                0.54168,                 0.3999,                0.82066,                0.92165,                0.91373,                0.93209,                0.77473,                0.60375,                 0.5007,                0.84565,             0.00054418,             0.00054418,             0.00054418
                     95,                 0.5481,                0.40088,                0.80614,                 0.9331,                0.90712,                0.95006,                 0.7711,                 0.6283,                 0.4922,                0.85077,             0.00054286,             0.00054286,             0.00054286
                     96,                0.55225,                0.40465,                0.81691,                0.93537,                0.91332,                0.93794,                0.76906,                0.61179,                 0.4921,                 0.8563,             0.00054154,             0.00054154,             0.00054154
                     97,                0.58221,                0.40267,                 0.8145,                0.92924,                0.91324,                0.93416,                0.74563,                0.66044,                 0.5093,                0.85893,             0.00054022,             0.00054022,             0.00054022
                     98,                0.54242,                0.40566,                0.81018,                0.92243,                0.91715,                0.93516,                0.75167,                0.60931,                0.49228,                 0.8475,              0.0005389,              0.0005389,              0.0005389
                     99,                0.57068,                0.41775,                0.81877,                0.91662,                0.92332,                 0.9388,                0.77367,                0.58405,                0.48602,                0.84268,             0.00053758,             0.00053758,             0.00053758
                    100,                 0.5459,                0.39385,                0.81879,                0.92243,                0.89978,                0.93601,                0.77001,                0.61645,                0.51667,                0.84674,             0.00053625,             0.00053625,             0.00053625
                    101,                0.53511,                0.40016,                0.80505,                0.93322,                0.91153,                0.94003,                0.76575,                0.62185,                0.48916,                0.85028,             0.00053493,             0.00053493,             0.00053493
                    102,                0.55229,                0.38512,                0.80649,                0.91707,                0.92479,                0.94051,                0.77552,                0.60498,                0.48329,                0.85156,             0.00053361,             0.00053361,             0.00053361
