                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                0.49742,                0.37813,                 0.7917,                0.95214,                0.93333,                0.94715,                0.82262,                0.51857,                0.49522,                 0.7944,              0.0013006,              0.0013006,              0.0013006
                    113,                0.50459,                0.37432,                0.80005,                0.94532,                0.93333,                0.95092,                0.79801,                 0.5296,                0.48602,                0.79456,              0.0012973,              0.0012973,              0.0012973
                    114,                0.49502,                0.38412,                0.82733,                0.92669,                0.90425,                0.94966,                0.81301,                 0.5099,                0.49754,                0.79257,               0.001294,               0.001294,               0.001294
                    115,                0.48998,                0.39608,                0.79573,                0.90596,                0.92655,                0.95456,                0.80458,                0.51934,                0.49858,                  0.793,              0.0012907,              0.0012907,              0.0012907
                    116,                0.46234,                0.37696,                0.78331,                0.92905,                0.93019,                0.96303,                0.86273,                0.47856,                0.45654,                0.78885,              0.0012874,              0.0012874,              0.0012874
                    117,                0.45144,                0.36431,                0.79577,                0.94245,                0.93168,                0.96785,                0.86826,                0.44865,                0.44156,                0.78541,              0.0012841,              0.0012841,              0.0012841
                    118,                0.45536,                0.37342,                0.80396,                0.95936,                0.93333,                0.97954,                0.85719,                0.50028,                0.44721,                0.79158,              0.0012808,              0.0012808,              0.0012808
                    119,                0.44816,                0.37233,                0.79995,                0.94187,                0.93333,                0.97618,                0.84619,                 0.4972,                0.43235,                0.79154,              0.0012775,              0.0012775,              0.0012775
                    120,                0.45069,                0.35904,                0.81521,                0.96467,                0.86337,                0.96272,                 0.8496,                0.47919,                0.43107,                 0.7899,              0.0012742,              0.0012742,              0.0012742
                    121,                0.45907,                0.36938,                0.81161,                0.87159,                0.95931,                 0.9662,                0.86003,                0.47163,                0.43838,                0.79149,              0.0012709,              0.0012709,              0.0012709
                    122,                0.48194,                0.38086,                0.80298,                 0.8987,                0.96198,                0.96516,                0.85035,                0.47575,                0.44917,                0.79325,              0.0012676,              0.0012676,              0.0012676
                    123,                0.46189,                0.37068,                0.78865,                0.93468,                0.95517,                0.96521,                0.85069,                0.48956,                0.45018,                0.79163,              0.0012643,              0.0012643,              0.0012643
                    124,                0.45691,                 0.3665,                 0.8056,                0.88532,                0.96667,                0.95957,                0.85122,                0.49805,                0.43978,                0.79075,               0.001261,               0.001261,               0.001261
                    125,                0.44681,                0.35329,                 0.8123,                0.95119,                0.90297,                0.96227,                0.84317,                0.50476,                0.45236,                0.79207,              0.0012577,              0.0012577,              0.0012577
